index,discipline,player_count
PRT,MD,8.0
PYF,MD,0.0
ROU,MD,0.0
RUS,MD,26.0
SGP,MD,6.0
SRB,MD,3.0
SUR,MD,0.0
SVK,MD,2.0
SVN,MD,5.0
SWE,MD,16.0
SYR,MD,0.0
THA,MD,23.0
TTO,MD,0.0
TUR,MD,16.0
TWN,MD,44.0
UAE,MD,7.0
UGA,MD,0.0
UKR,MD,10.5
USA,MD,22.0
UZB,MD,2.0
VNM,MD,3.0
ZAF,MD,0.0
ARM,WD,0.0
AUS,WD,7.5
AUT,WD,7.0
AZE,WD,0.0
BEL,WD,2.5
BEN,WD,0.0
BGR,WD,1.0
BHR,WD,0.0
BLR,WD,2.0
BRA,WD,0.0
BRB,WD,0.0
BRN,WD,0.0
CAN,WD,7.0
CHE,WD,4.5
CHL,WD,0.0
CHN,WD,41.0
CYP,WD,1.0
CZE,WD,6.5
DEU,WD,24.5
DNK,WD,28.5
DZA,WD,2.0
ECU,WD,0.0
EGY,WD,1.5
ESP,WD,7.5
EST,WD,7.5
ETH,WD,0.0
FIN,WD,5.0
FRA,WD,8.0
GBR,WD,39.5
GCA,WD,0.0
GRC,WD,1.0
HRV,WD,2.0
HUN,WD,2.5
IDN,WD,52.5
IND,WD,53.5
IRL,WD,4.5
IRN,WD,3.0
IRQ,WD,0.0
ISL,WD,1.0
ISR,WD,0.0
ITA,WD,3.5
JAM,WD,0.0
JOR,WD,1.0
JPN,WD,35.0
KAZ,WD,0.0
KOR,WD,29.5
LAO,WD,0.0
LKA,WD,1.0
LTU,WD,1.0
LUX,WD,0.0
LVA,WD,2.0
MAR,WD,0.0
MDA,WD,0.0
MDV,WD,1.0
MEX,WD,0.0
MKD,WD,0.0
MLT,WD,0.5
MMR,WD,0.0
MNG,WD,0.0
MUS,WD,0.0
MYS,WD,32.5
NGA,WD,0.0
NLD,WD,5.0
NOR,WD,3.0
NPL,WD,0.0
NZL,WD,8.0
PAK,WD,0.0
PER,WD,2.0
PHL,WD,1.0
POL,WD,16.5
PRT,WD,5.5
PYF,WD,0.0
ROU,WD,0.0
RUS,WD,19.0
SGP,WD,4.0
SRB,WD,0.0
SUR,WD,0.0
SVK,WD,0.5
SVN,WD,2.0
SWE,WD,16.0
SYR,WD,0.0
THA,WD,31.5
TTO,WD,0.0
TUR,WD,17.0
TWN,WD,41.5
UAE,WD,4.0
UGA,WD,0.0
UKR,WD,12.0
USA,WD,12.5
UZB,WD,1.0
VNM,WD,3.0
ZAF,WD,0.0
ARM,XD,0.5
AUS,XD,11.0
AUT,XD,8.5
AZE,XD,0.0
BEL,XD,4.5
BEN,XD,0.0
BGR,XD,5.0
BHR,XD,0.0
BLR,XD,2.5
BRA,XD,0.0
BRB,XD,0.5
BRN,XD,0.0
CAN,XD,17.5
CHE,XD,4.5
CHL,XD,0.0
CHN,XD,71.5
CYP,XD,0.0
CZE,XD,11.0
DEU,XD,22.0
DNK,XD,49.0
DZA,XD,0.0
ECU,XD,0.0
EGY,XD,0.5
ESP,XD,12.5
EST,XD,7.5
ETH,XD,1.0
FIN,XD,11.0
FRA,XD,25.5
GBR,XD,56.5
GCA,XD,0.0
