index,discipline,Continental,ISIC,Super100,Super300,Super500,Super750,WTFSuper1000
VNM,MS,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZAF,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRB,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,WS,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CHE,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHL,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,WS,0.0,3.0,3.0,4.0,0.0,1.0,0.0
CYP,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEU,WS,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DNK,WS,0.0,5.0,1.0,0.0,0.0,0.0,0.0
DZA,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECU,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,WS,1.0,1.0,0.0,0.0,0.0,1.0,2.0
EST,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBR,WS,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GCA,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRC,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRV,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUN,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDN,WS,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IND,WS,0.0,2.0,0.0,0.0,0.0,0.0,1.0
IRL,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRN,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRQ,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR,WS,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ITA,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAM,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOR,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPN,WS,0.0,4.0,3.0,4.0,4.0,1.0,0.0
KAZ,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOR,WS,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LAO,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LKA,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTU,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVA,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAR,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDA,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDV,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEX,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKD,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLT,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMR,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MNG,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUS,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYS,WS,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NGA,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOR,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPL,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAK,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PER,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHL,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYF,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROU,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUS,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP,WS,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SRB,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUR,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVK,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVN,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWE,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYR,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THA,WS,0.0,0.0,0.0,1.0,1.0,0.0,0.0
TTO,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUR,WS,1.0,3.0,0.0,0.0,0.0,0.0,0.0
TWN,WS,1.0,1.0,0.0,1.0,1.0,2.0,2.0
UAE,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UGA,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UKR,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,WS,0.0,0.0,0.0,0.0,1.0,0.0,0.0
UZB,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNM,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF,WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRB,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,MD,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CHE,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHL,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,MD,1.0,0.0,1.0,1.0,0.0,1.0,2.0
CYP,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEU,MD,0.0,1.0,1.0,0.0,0.0,0.0,0.0
DNK,MD,1.0,4.5,0.0,1.0,0.0,0.0,1.0
DZA,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECU,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EST,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,MD,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GBR,MD,0.0,1.0,3.0,0.0,0.0,0.0,0.0
GCA,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRC,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRV,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUN,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDN,MD,0.0,3.0,2.0,2.0,5.0,3.0,2.0
IND,MD,0.0,3.0,1.0,0.0,0.0,0.0,0.0
IRL,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRN,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRQ,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAM,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOR,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPN,MD,0.0,1.0,0.0,1.0,2.0,1.0,0.0
KAZ,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOR,MD,0.0,2.0,1.0,3.0,0.0,0.0,0.0
LAO,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LKA,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTU,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVA,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAR,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDA,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDV,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEX,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKD,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLT,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMR,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MNG,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUS,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYS,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGA,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,MD,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NOR,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPL,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,MD,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PAK,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PER,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHL,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYF,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROU,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUS,MD,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SGP,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUR,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVK,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVN,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWE,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYR,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THA,MD,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TTO,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUR,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TWN,MD,0.0,4.0,1.0,2.0,0.0,0.0,0.0
UAE,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UGA,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UKR,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UZB,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNM,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR,WD,1.0,0.0,4.0,0.0,0.0,0.0,0.0
BHR,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRB,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
