index,discipline,Continental,ISIC,Super100,Super300,Super500,Super750,WTFSuper1000
FRA,XD,0.0,3.0,0.0,0.0,0.0,0.0,0.0
GBR,XD,1.0,2.0,4.0,0.0,0.0,0.0,0.0
GCA,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRC,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRV,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUN,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDN,XD,0.0,1.0,2.0,1.0,1.0,0.0,1.0
IND,XD,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IRL,XD,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IRN,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRQ,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAM,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOR,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPN,XD,0.0,1.0,1.0,0.0,1.0,0.0,1.0
KAZ,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOR,XD,0.0,2.0,0.5,2.0,0.0,0.0,0.0
LAO,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LKA,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTU,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVA,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAR,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDA,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDV,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEX,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKD,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLT,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMR,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MNG,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUS,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYS,XD,0.0,1.0,0.0,3.0,1.0,0.0,0.0
NGA,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,XD,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NOR,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPL,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAK,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PER,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHL,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYF,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROU,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUS,XD,0.0,3.0,0.5,0.0,0.0,0.0,0.0
SGP,XD,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SRB,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUR,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVK,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVN,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWE,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYR,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THA,XD,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TTO,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUR,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TWN,XD,0.0,0.0,0.0,1.0,0.0,0.0,0.0
UAE,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UGA,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UKR,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UZB,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNM,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF,XD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
